Fuel Type Code,Station Name,Street Address,Intersection Directions,city,State,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Open_Date
ELEC,Saint Mary's Square Garage,433 Kearny St,"At Pine St, Level 4",San Francisco,CA,Public,24 hours daily; pay lot,,,,1/31/2002
ELEC,Palace Hotel,2 New Montgomery St,,San Francisco,CA,Public,24 hours daily,,1,,1/31/2002
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,Public,24 hours daily; for guest use only; see valet for access,,1,,1/31/2002
ELEC,Hotel Sofitel,8555 Beverly Blvd,,Los Angeles,CA,Public,24 hours daily; for guest use only; see valet for access,,2,,1/31/2002
ELEC,Music Center Parking - Level 2,135 N Grand Ave,"Music Center Parking Lot 14, level 2",Los Angeles,CA,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,3,,1/31/2002
ELEC,Balboa Golf Course,16821 Burbank Blvd,,Encino,CA,Public,24 hours daily,,1,,6/15/1998
ELEC,California State University - Northridge,18111 Nordhoff St,Lot G9 structure; Near Zelzah and Kenzie second level parking,Northridge,CA,Public,24 hours daily; parking permit required,,2,,1/15/2002
ELEC,California State University - Northridge,18111 Nordhoff St,"Lot B4; Prairie St, near Darby Ave",Northridge,CA,Public,24 hours daily; parking permit required,,2,,1/15/2002
ELEC,California State University - Northridge,18111 Nordhoff St,"Surface lot B2; West side of Etiwanda, South of Prairie",Northridge,CA,Public,24 hours daily; parking permit required,,4,,1/15/2002
ELEC,Northridge Metrolink Station,8775 Wilbur Ave,,Northridge,CA,Public,24 hours daily,,4,,4/1/2019
ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,,San Pedro,CA,Public,8am-5pm daily,,4,,3/26/2013
ELEC,Sylmar Metrolink Station,Village Way Dr,,San Fernando,CA,Public,24 hours daily,,4,,4/1/2019
ELEC,Getty Center,1200 Getty Center Dr,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,Los Angeles,CA,Public,Garage business hours; pay lot,12,16,,7/1/2013
ELEC,Los Angeles County - Arboretum,301 N Baldwin Ave,Located in parking lot directly across from Harvard Dr,Arcadia,CA,Public,24 hours daily,,3,,6/1/2014
ELEC,City of Glendora - City Hall,114 S Vista Bonita Ave,Located across the street from City Hall,Glendora,CA,Public,5am-2am daily,,3,,4/30/2002
ELEC,DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,,Culver City,CA,Public,24 hours daily; guest use only,,2,,12/31/2019
ELEC,Helms Bakery Building,8800 Venice Blvd,,Los Angeles,CA,Public,24 hours daily,,6,,4/25/2017
ELEC,Westfield MainPlace Mall,2800 N Main St,"Located in parking structure 5, near the food court, and near the 24 Hour Fitness",Santa Ana,CA,Public,6am-12am daily,,6,,5/30/2002
ELEC,California State University - Channel Islands,1 University Dr,Located in lot A3,Camarillo,CA,Public,24 hours daily,,5,,5/30/2002
ELEC,Brea Downtown Parking,101 S Brea Blvd,,Brea,CA,Public,Garage business hours; 4 hour parking limit,,4,,5/30/2002
ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,Public,24 hours daily,4,2,,5/15/2002
ELEC,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Baldwin Road/Casitas Pass Road,Oak View,CA,Public - Call ahead,8am-5pm daily,,1,,5/30/2002
ELEC,San Dimas Park & Ride,205 S San Dimas Ave,Bonita Ave and San Dimas Ave,San Dimas,CA,Public,24 hours daily,,2,,5/30/2002
ELEC,City of Pasadena - El Molino Lot,100 N El Molino Ave,,Pasadena,CA,Public,24 hours daily; pay lot,,2,,5/30/2002
ELEC,Ventura County Government Center,800 S Victoria Ave,,Ventura,CA,Public,8am-5pm daily,,6,,10/19/2012
ELEC,Ventura County Air Pollution Control District,669 County Square Dr,,Ventura,CA,Public,8am-5pm daily,,3,,10/18/2012
ELEC,Pacific View Mall,3295 E Main St,,Ventura,CA,Public,24 hours daily,,2,,5/30/2002
ELEC,LADWP - Scattergood Generating Facility,12700 Vista del Mar,,Playa del Rey,CA,Private,Fleet use only,,16,,10/15/1999
ELEC,University of California - Davis Extension,1441 Research Park Dr,,Davis,CA,Public,24 hours daily,1,3,,6/1/2004
ELEC,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,,San Luis Obispo,CA,Public,8am-5pm M-F; see front desk for code,1,1,,7/15/2002
ELEC,Soquel & Front Garage,601 Front St,,Santa Cruz,CA,Public,24 hours daily,,5,,6/30/1998
ELEC,LADWP - Wilmington District Yard,315 N Island Ave,,Wilmington,CA,Private,Fleet use only,,8,,4/1/2019
ELEC,Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,,Fair Oaks,CA,Public,24 hours daily,,2,,6/1/2004
ELEC,Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Located on the 2nd floor,Sacramento,CA,Public,24 hours daily; pay lot; visitor and student use only,1,2,,5/30/2004
ELEC,North Highlands Library,4235 Antelope Rd,,Antelope,CA,Public,24 hours daily,,1,,8/1/2019
ELEC,Gateway Oaks Metro Center,2710 Gateway Oaks Dr,,Sacramento,CA,Private,Tenant use only,,1,,5/30/2004
ELEC,University of California - Davis - Medical Center,4860 Y St,"Located in Parking Structure 2, at 49th St",Sacramento,CA,Public,24 hours daily,,2,,11/1/2019
ELEC,City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Located towards South Land Park Drive,Sacramento,CA,Public,24 hours daily,,2,,2/11/2013
ELEC,Mosquito Road Park and Ride,Mosquito Rd & Clay St,,Placerville,CA,Public,Lot business hours; overnight parking prohibited,,2,,5/30/2004
ELEC,City of Vacaville - Cultural Center,1000 Ulatis Dr,,Vacaville,CA,Public,24 hours daily,,1,,6/15/2004
ELEC,Stars Recreation Center,155 Browns Valley Pkwy,,Vacaville,CA,Public,24 hours daily,,3,,6/15/2004
ELEC,City of Vacaville - Regional Transport Center,190 Hickory Ln,,Vacaville,CA,Public,24 hours daily,,3,,6/15/2004
ELEC,Office of Housing & Redevelopment,40 Eldridge Ave,At Morales Ct,Vacaville,CA,Public,24 hours daily,,1,,6/15/2004
ELEC,KUIC Radio - Parking Lot,500 Catherine St,At Davis St,Vacaville,CA,Public,24 hours daily,,1,,6/15/2004
ELEC,Citrus Heights City Hall,6360 Fountain Square Dr,,Citrus Heights,CA,Public,24 hours daily,,2,,2/1/2016
ELEC,Pitt School Plaza,1440 Ary Ln,,Dixon,CA,Public,24 hours daily,1,,,6/15/2004
ELEC,El Dorado County Government Center,2850 Fairlane Ct,Building C parking lot,Placerville,CA,Public,24 hours daily,,3,,5/15/2004
ELEC,El Dorado Transit Park & Ride,4640 Post St,,El Dorado Hills,CA,Public,24 hours daily,,2,,5/1/2012
ELEC,Elk Grove Kia,8480 Laguna Grove Dr,,Elk Grove,CA,Private,Service center use only,,1,,5/10/2012
ELEC,CVS Pharmacy,8455 Auburn-Folsom Rd,At Douglas Blvd,Granite Bay,CA,Public,8am-10pm,,1,,6/15/1998
ELEC,Carmichael Library,5605 Marconi Ave,At La Vista,Carmichael,CA,Public,24 hours daily,,1,,7/15/2004
ELEC,Rio Vista City Hall,1 Main St,,Rio Vista,CA,Public,24 hours daily,,1,,8/15/2006
ELEC,Fairfield City Hall,1000 Webster St,,Fairfield,CA,Public,24 hours daily,,2,,8/27/2012
ELEC,Solano Community College,4000 Suisun Valley Rd,,Fairfield,CA,Public,24 hours daily,,3,,7/15/2005
ELEC,Vallejo Ferry Terminal,495 Mare Island Way,,Vallejo,CA,Public,24 hours daily,,,,7/15/2005
ELEC,Los Angeles International Airport (LAX) - Lot 1,1 World Way,Central Terminal Area (CTA) - P1,Los Angeles,CA,Public,24 hours daily; pay lot,,20,,2/15/2011
ELEC,LADWP - Central District,1350 S Wall St,North of 15th St,Los Angeles,CA,Private,Fleet use only,,21,,10/15/1999
ELEC,LADWP - Lincoln Heights District,3101 Artesian St,Between W Ave 26 and W Ave 33,Los Angeles,CA,Private,Fleet use only,,67,,1/1/2016
ELEC,LADWP - Valley Generating Station,11801 Sheldon St,Between Glenoaks Blvd and San Fernando Rd,Sun Valley,CA,Private,Fleet and employee use only,,17,,10/15/1999
ELEC,City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Located in the City parking lot on the west side of N. Oak St. just south of W. Standley St.,Ukiah,CA,Public,24 hours daily,,1,,11/30/2008
ELEC,Nut Tree Village,1651 E Monte Vista Ave,,Vacaville,CA,Public,24 hours daily,1,1,,12/15/2008
ELEC,Placer County Community Development Resource Center,3091 County Center Dr,Located on the west side of the building,Auburn,CA,Public,24 hours daily,,3,,11/30/2008
ELEC,4th and G Plaza Public Parking Garage,4th St & G St,Entrance on 4th St,Davis,CA,Public,24 hours daily,,1,,12/1/2008
ELEC,Davis Amtrak Station,840 2nd St,2nd & H St,Davis,CA,Public,24 hours daily,,2,,12/1/2008
ELEC,University of California - Davis,6 Howard Way,Quad Structure; Between Russell Blvd & North Quad,Davis,CA,Public,24 hours daily; pay lot; permit required 7am-10pm M-F,2,4,,12/1/2008
ELEC,University Covenant Church,315 Mace Blvd,,Davis,CA,Public,24 hours daily,,1,,12/1/2008
ELEC,Ciudad del Rey Motel & Trailer Park,50557 Wild Horse Rd,At US-101,King City,CA,Public - Call ahead,6am-7pm daily,,,,11/30/2008
ELEC,Lakewood Center Mall,4500 Silva St,Located near Nordstrom Rack,Lakewood,CA,Public,Mall business hours,,2,,10/25/2012
ELEC,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,,Larkspur,CA,Public,24 hours daily; pay lot,,1,,12/31/2008
ELEC,Oakland International Airport - Daily Lot,1 Airport Dr,"Enter Daily Parking Lot.  Section L6, behind Parking Management Office.",Oakland,CA,Public,24 hours daily; pay lot,,2,,12/20/2012
ELEC,Fairfield Transportation Center,2000 Cadenasso Dr,,Fairfield,CA,Public,24 hours daily,,2,,5/1/2009
ELEC,San Francisco City Hall,1 Dr Carlton B Goodlet Pl,,San Francisco,CA,Private,City vehicle use only,,1,,8/15/2009
ELEC,Rabobank - Salinas,1285 N Davis Rd,,Salinas,CA,Public,24 hours daily,,1,,12/15/2009
ELEC,Home Depot,1551 Froom Ranch Way,,San Luis Obispo,CA,Public,24 hours daily,,2,,4/15/2000
ELEC,San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,,San Luis Obispo,CA,Public,24 hours daily,,4,,4/15/2000
ELEC,ClipperCreek Headquarters,11850 Kemper Rd,Kemper Rd and Highway 49,Auburn,CA,Private,24 hours daily,,12,,3/15/2011
ELEC,Toyota of Santa Monica,801 Santa Monica Blvd,At Lincoln Ct,Santa Monica,CA,Public - Call ahead,Dealership business hours; priority for customer use,,3,,11/15/2010
ELEC,Parc 55 Hotel,55 Cyril Magnin,,San Francisco,CA,Public,24 hours daily; pay lot,,1,,2/1/2011
ELEC,Beach & Hyde Garage,655 Beach St,,San Francisco,CA,Public,24 hours daily; pay lot,,5,,2/1/2011
ELEC,City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,1st floor of parking garage,Santa Monica,CA,Public,24 hours daily; pay lot,,12,2,11/15/2010
ELEC,Super 8 - Ukiah,693 S Orchard Ave,"Highway 101, Gobbi St exit",Ukiah,CA,Public - Call ahead,24 hours daily; guests may request use of the chargers when making hotel reservations,,1,,5/15/2011
ELEC,Antioch Nissan,1831 Auto Center Dr,,Antioch,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Nissan of Bakersfield,2800 Pacheco Rd,,Bakersfield,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Buena Park Nissan,6501 Auto Center Dr,,Buena Park,CA,Public - Call ahead,Dealership business hours,,3,,3/15/2011
ELEC,Carson Nissan,1505 E 223rd St,,Carson,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Palm Springs Nissan,68177 Kyle Rd,,Cathedral City,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Cerritos Nissan,18707 Studebaker Rd,,Cerritos,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Chico Nissan,575 Manzanita Ave,,Chico,CA,Public - Call ahead,Dealership business hours,,3,,3/15/2011
ELEC,Puente Hills Nissan,17320 E Gale Ave,,City of Industry,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Lithia Nissan - Clovis,370 W Herndon Ave,,Clovis,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Nissan of Serramonte,1500 Collins Ave,,Colma,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Autocom Nissan - Concord,1290 Concord Ave,,Concord,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Larry H Miller Nissan,2575 Wardlow Rd,,Corona,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Orange Coast Nissan,2850 Harbor Blvd,,Costa Mesa,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Hanlees Nissan,5009 Chiles Rd,,Davis,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Downey Nissan,7321 Firestone Blvd,,Downey,CA,Public - Call ahead,Dealership business hours,,4,,3/15/2011
ELEC,Nissan of Duarte,1434 Buena Vista St,,Duarte,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Mossy Nissan - El Cajon,1170 W Main St,,El Cajon,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Ross Nissan of El Monte,3428 N Peck Rd,,El Monte,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Nissan of Elk Grove,8590 Laguna Grove Dr,,Elk Grove,CA,Public - Call ahead,Dealership business hours,,4,1,3/15/2011
ELEC,Mossy Nissan - Escondido,1546 Auto Park Way,,Escondido,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,McCrea Nissan,601 7th St,,Eureka,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Future Nissan of Folsom,12610 Auto Mall Cir,,Folsom,CA,Public - Call ahead,Dealership business hours,,3,1,3/15/2011
ELEC,Fontana Nissan,16444 S Highland Ave,,Fontana,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Premier Nissan of Fremont,5701 Cushing Pkwy,,Fremont,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Lithia Nissan - Fresno,5580 N Blackstone Ave,,Fresno,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Imperio Nissan of Garden Grove,9222 Trask Ave,,Garden Grove,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Gardena Nissan,1670 W Redondo Beach Blvd,,Gardena,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,South County Nissan,400 Automall Dr,,Gilroy,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Glendale Nissan,727 S Brand Blvd,,Glendale,CA,Public - Call ahead,Dealership business hours; contact 630-469-6100 for more information,,1,,3/15/2011
ELEC,Santa Barbara Nissan,425 S Kellogg Ave,,Goleta,CA,Public - Call ahead,Dealership business hours,,3,,3/15/2011
ELEC,Hayward Nissan,24644 Mission Blvd,,Hayward,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Pedder Nissan,200 Carriage Cir,,Hemet,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Surf City Nissan,17331 Beach Blvd,,Huntington Beach,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Nissan of Irvine,32 Auto Center Dr,,Irvine,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Torre Nissan,79125 Highway 111,,La Quinta,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Nissan of Downtown Los Angeles,635 W Washington Blvd,,Los Angeles,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Universal City Nissan,3550 Cahuenga Blvd W,,Los Angeles,CA,Public - Call ahead,Dealership business hours,,2,2,3/15/2011
ELEC,Razzari Nissan,1675 Auto Center Dr,,Merced,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Nissan of Mission Hills,11000 Sepulveda Blvd,,Mission Hills,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Central Valley Nissan,4530 McHenry Ave,,Modesto,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Metro Nissan of Montclair,9440 Autoplex Dr,,Montclair,CA,Public - Call ahead,Dealership business hours,,1,1,11/8/2019
ELEC,Metro Nissan of Redlands,1665 Industrial Park Ave,,Redlands,CA,Public - Call ahead,Dealership business hours,,3,1,3/15/2011
ELEC,Napa Nissan,510 Soscol Ave,,Napa,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Mossy Nissan,2700 National City Blvd,,National City,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Mossy Nissan - Oceanside,3535 College Blvd,,Oceanside,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Stadium Nissan,1140 W Katella Ave,,Orange,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Team Nissan,1801 Auto Center Dr,,Oxnard,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Antelope Valley Nissan,451 Auto Center Dr,"5th St West and Auto Center Dr; access EVSE via the service drive, located adjacent to the front door",Palmdale,CA,Public - Call ahead,24 hours daily; primarily for customer use,,2,1,3/15/2011
ELEC,North Bay Nissan,1250 Auto Center Dr,,Petaluma,CA,Public - Call ahead,Dealership business hours,,4,,3/15/2011
ELEC,Mossy Nissan - Poway,14100 Poway Rd,,Poway,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Crown Nissan,300 E Cypress Ave,,Redding,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Boardwalk Nissan,1 Bair Island Rd,,Redwood City,CA,Public - Call ahead,Dealership business hours,,3,1,3/15/2011
ELEC,Hanlees Hilltop Nissan,3277 Auto Plaza,,Richmond,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Raceway Nissan,6030 Sycamore Canyon Blvd,,Riverside,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Riverside Nissan,8330 Indiana Ave,,Riverside,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Future Nissan,600 Automall Dr,,Roseville,CA,Public - Call ahead,Dealership business hours; 916-969-5700,,1,1,3/15/2011
ELEC,Nissan of Sacramento,2820 Auburn Blvd,,Sacramento,CA,Public - Call ahead,Dealership business hours; 916-488-5400,,1,1,6/1/2016
ELEC,My Nissan,222 Auto Center Cir,,Salinas,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Larry H Miller Nissan - San Bernardino,735 Showcase Dr S,,San Bernardino,CA,Public - Call ahead,Dealership business hours; contact 909-885-3883 for more information,,1,1,3/15/2011
ELEC,Mossy Nissan - Kearny Mesa,8118 Clairemont Mesa Blvd,,San Diego,CA,Public - Call ahead,Dealership business hours,,1,1,3/15/2011
ELEC,Pacific Nissan,4433 Mission Bay Dr,,San Diego,CA,Public - Call ahead,Dealership business hours,,1,1,4/1/2011
ELEC,Nissan Sunnyvale,680 E El Camino Real,,Sunnyvale,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Premier Nissan,1120 W Capitol Expy,,San Jose,CA,Public - Call ahead,Dealership business hours,,1,2,3/15/2011
ELEC,Nissan - San Juan Capistrano,33633 Camino Capistrano,,San Juan Capistrano,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,San Leandro Nissan,1152 Marina Blvd,,San Leandro,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Coast Nissan,12150 Los Osos Valley Rd,,San Luis Obispo,CA,Public - Call ahead,Dealership business hours,,4,1,3/15/2011
ELEC,Stevens Creek Nissan,4855 Stevens Creek Blvd,Located on the southeast corner of building,Santa Clara,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Jim Bone Nissan,1275 Santa Rosa Ave,,Santa Rosa,CA,Public - Call ahead,Dealership business hours,,4,,3/15/2011
ELEC,Cardinale Nissan,1661 Del Monte Blvd,,Seaside,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Nissan of Van Nuys,5425 Van Nuys Blvd,,Sherman Oaks,CA,Public - Call ahead,Dealership business hours,,1,,4/22/2014
ELEC,First Nissan,2325 1st St,,Simi Valley,CA,Public - Call ahead,Dealership business hours,,1,2,3/15/2011
ELEC,Nissan of Stockton,3077 E Hammer Ln,,Stockton,CA,Public - Call ahead,Dealership business hours,,2,,3/15/2011
ELEC,Quality Nissan - Temecula,41895 Motor Car Pkwy,,Temecula,CA,Public - Call ahead,Dealership business hours,,2,1,3/15/2011
ELEC,Tracy Nissan,3195 N Naglee Rd,,Tracy,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Nissan of Tustin,30 Auto Center Dr,,Tustin,CA,Public - Call ahead,Dealership business hours,,1,2,3/15/2011
ELEC,Nissan of Vacaville,671 Orange Dr,,Vacaville,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Champion Nissan,24111 Creekside Rd,,Valencia,CA,Public - Call ahead,Dealership business hours,,3,,3/15/2011
ELEC,Vallejo Nissan,3287 Sonoma Blvd,,Vallejo,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,Valley Hi Nissan,15722 Valley Park Ln,,Victorville,CA,Public - Call ahead,Dealership business hours; contact 760-241-1700 for more information,,1,,3/15/2011
ELEC,Nissan of Visalia,830 S Ben Maddox Way,,Visalia,CA,Public - Call ahead,Dealership business hours,,1,,3/15/2011
ELEC,West Covina Nissan,205 N Citrus St,,West Covina,CA,Public - Call ahead,Dealership business hours,,1,2,3/15/2011
ELEC,International Brotherhood of Electrical Workers 569 - NECA Electrical Training Center,4675 Viewridge Ave,Balboa and I-15,San Diego,CA,Public,7am-8:30pm daily,,2,,7/22/2011
ELEC,Smart Center San Diego,4750 Kearny Mesa Rd,Co-located with Mercedes-Benz dealership,San Diego,CA,Public - Call ahead,Dealership business hours; customer use only,1,1,,5/15/2011
